filename,title,current_category,suggested_category,needs_change,change_type
# Calculators moving FROM "other" TO "environment" (12 calculators)
aquaponics-system-design.md,Aquaponics System Design Calculator,other,environment,True,new_category
beekeeping-honey-production.md,Beekeeping Honey Production Calculator,other,environment,True,new_category
carbon-offset-business.md,Carbon Offset Calculator for Businesses,other,environment,True,new_category
compost-bin-size.md,Compost Bin Size Calculator,other,environment,True,new_category
eco-friendly-product-impact-calculator.md,Eco-Friendly Product Impact Calculator,other,environment,True,new_category
electric-vehicle-range.md,Electric Vehicle Range Calculator,other,environment,True,new_category
energy-bill-estimator-solar.md,Energy Bill Estimator Solar,other,environment,True,new_category
energy.md,Energy Calculator,other,environment,True,new_category
environmental-transportation.md,Environmental Transportation Calculator,other,environment,True,new_category
fertilizer.md,Fertilizer Calculator,other,environment,True,new_category
gardening-plant-spacing.md,Gardening Plant Spacing Calculator,other,environment,True,new_category
gardening-water-usage.md,Gardening Water Usage Calculator,other,environment,True,new_category

# Calculators moving FROM "other" TO "technology" (11 calculators)
3d-printing-material-cost-calculator.md,3D Printing Material Cost Calculator,other,technology,True,new_category
application-development-cost-estimator.md,Application Development Cost Estimator,other,technology,True,new_category
blockchain-transaction-fee-calculator.md,Blockchain Transaction Fee Calculator,other,technology,True,new_category
cybersecurity-awareness-quiz.md,Cybersecurity Awareness Quiz,other,technology,True,new_category
cybersecurity-compliance-assessment.md,Cybersecurity Compliance Assessment,other,technology,True,new_category
internet-speed-test.md,Internet Speed Test,other,technology,True,new_category
iot-device-power-consumption-estimator.md,IoT Device Power Consumption Estimator,other,technology,True,new_category
ip-address.md,IP Address Calculator,other,technology,True,new_category
password-strength-checker.md,Password Strength Checker,other,technology,True,new_category
podcast-growth-predictor.md,Podcast Growth Predictor,other,technology,True,new_category
quantum-computing-resource-estimator.md,Quantum Computing Resource Estimator,other,technology,True,new_category

# Calculators moving FROM "other" TO "entertainment" (10 calculators)
astrology-compatibility.md,Astrology Birth Chart Compatibility Calculator,other,entertainment,True,new_category
astrology-sign.md,Astrology Sign Calculator by Birth Date,other,entertainment,True,new_category
dream-interpretation-score-calculator.md,Dream Interpretation Score Calculator,other,entertainment,True,new_category
feng-shui-home-layout-optimizer.md,Feng Shui Home Layout Optimizer,other,entertainment,True,new_category
lottery-probability-calculator.md,Lottery Probability Calculator,other,entertainment,True,new_category
moon-phase-calculator-wedding.md,Moon Phase Calculator Wedding,other,entertainment,True,new_category
numerology-life-path.md,Numerology Life Path Calculator,other,entertainment,True,new_category
random-person-selector.md,Random Person Selector,other,entertainment,True,new_category
superstition-luck-calculator.md,Superstition Luck Calculator,other,entertainment,True,new_category
tarot-card-reading.md,Tarot Card Reading Calculator,other,entertainment,True,new_category

# Calculators moving FROM "other" TO "travel" (9 calculators)
international-student-visa-checklist-generator.md,International Student Visa Checklist Generator,other,travel,True,new_category
moving-cost-cross-country.md,Moving Cost Cross Country Calculator,other,travel,True,new_category
schengen-days.md,Schengen Days Calculator,other,travel,True,new_category
shoe-size.md,Shoe Size Converter,other,travel,True,new_category
timezone-converter-nomads.md,Timezone Converter for Nomads,other,travel,True,new_category
travel-budget-backpackers.md,Travel Budget for Backpackers,other,travel,True,new_category
travel-insurance-estimator.md,Travel Insurance Estimator,other,travel,True,new_category
visa-eligibility-calculator.md,Visa Eligibility Calculator,other,travel,True,new_category
clothing-size.md,Clothing Size Converter,other,travel,True,new_category

# Calculators moving FROM "other" TO "education" (8 calculators)
college-cost-calculator-out-of-state.md,College Cost Calculator Out of State,other,education,True,new_category
course-enrollment-forecast.md,Course Enrollment Forecast,other,education,True,new_category
graduate-school-acceptance-rate-predictor.md,Graduate School Acceptance Rate Predictor,other,education,True,new_category
scholarship-eligibility-calculator.md,Scholarship Eligibility Calculator,other,education,True,new_category
study-time-optimizer.md,Study Time Optimizer,other,education,True,new_category
career-path-salary-estimator.md,Career Path Salary Estimator,other,education,True,new_category
employee-burnout-assessment.md,Employee Burnout Assessment,other,education,True,new_category
compliance-checklist.md,Compliance Checklist Generator,other,education,True,new_category

# ALL OTHER CALCULATORS - No changes needed (113 calculators)
# business category (14 calculators) - no changes
# construction category (29 calculators) - no changes  
# financial category (24 calculators) - no changes
# health category (18 calculators) - no changes
# school category (15 calculators) - no changes
# conversion category (7 calculators) - no changes
# time-date category (6 calculators) - no changes
# Remaining in other category (23 calculators) - no changes
drywall.md,Drywall Calculator,construction,construction,False
fence-material.md,Fence Material Calculator,construction,construction,False
gravel.md,Gravel Calculator,construction,construction,False
insulation.md,Insulation Calculator,construction,construction,False
laminate.md,Laminate Flooring Calculator,construction,construction,False
mulch.md,Mulch Calculator,construction,construction,False
paint-coverage.md,Paint Coverage Calculator,construction,construction,False
paver.md,Paver Calculator,construction,construction,False
plaster.md,Plaster Calculator,construction,construction,False
rebar.md,Rebar Calculator,construction,construction,False
renovation-cost.md,Renovation Cost Calculator,construction,construction,False
retaining-wall.md,Retaining Wall Calculator,construction,construction,False
roof-pitch.md,Roof Pitch Calculator,construction,construction,False
room-area.md,Room Area Calculator,construction,construction,False
stair-stringer.md,Stair Stringer Calculator,construction,construction,False
stairs.md,Stairs Calculator,construction,construction,False
tile.md,Tile Calculator,construction,construction,False
wall-area.md,Wall Area Calculator,construction,construction,False
wallpaper.md,Wallpaper Calculator,construction,construction,False
boiler-power.md,Boiler Power Calculator,construction,conversion,True
concrete.md,Concrete Volume Calculator,construction,conversion,True
fertilizer.md,Fertilizer Calculator,construction,environmental,True
raised-bed-soil.md,Raised Bed Soil Calculator,construction,environmental,True
electric-load.md,Electrical Load Calculator,construction,school,True
area-converter.md,Area Converter Online,conversion,conversion,False
length-converter.md,Length Converter Online,conversion,conversion,False
speed-converter.md,Speed Converter Online,conversion,conversion,False
temperature-converter.md,Temperature Converter Online,conversion,conversion,False
time-converter.md,Time Converter Online,conversion,conversion,False
volume-converter.md,Volume Converter Online,conversion,conversion,False
weight-converter.md,Weight Converter Online,conversion,conversion,False
number-to-text.md,Number to Text Converter,financial,conversion,True
401k-calculator.md,401k Calculator - Retirement Savings Estimator,financial,financial,False
mortgage-rate-credit-score.md,Best Mortgage Rate Calculator based on Credit Score,financial,financial,False
compound-interest.md,Compound Interest Calculator,financial,financial,False
cost-raising-child.md,Cost of Raising a Child Calculator,financial,financial,False
debt-snowball-avalanche.md,Debt Snowball vs. Avalanche Calculator,financial,financial,False
deposit.md,Deposit Calculator,financial,financial,False
emergency-fund-size.md,Emergency Fund Size Calculator,financial,financial,False
financial-independence-number.md,Financial Independence Number Calculator,financial,financial,False
ideal-retirement-savings-lifestyle.md,Ideal Retirement Savings Calculator based on Lifestyle,financial,financial,False
income-tax-calculator.md,Income Tax Calculator - Federal & State Tax Estimator,financial,financial,False
real-estate-investment-return.md,Investment Return Calculator for Real Estate,financial,financial,False
loan.md,Loan Calculator,financial,financial,False
mortgage-affordability-calculator.md,Mortgage Affordability Calculator - How Much House Can I Afford?,financial,financial,False
mortgage-calculator.md,Mortgage Calculator - Monthly Payment & Amortization Schedule,financial,financial,False
roi.md,ROI Calculator  -  Return on Investment,financial,financial,False
rent-vs-buy.md,Rent vs Buy Calculator,financial,financial,False
retirement-savings-freelancers.md,Retirement Savings Calculator for Freelancers,financial,financial,False
salary-converter.md,Salary Period Converter,financial,financial,False
savings-goal.md,Savings Goal Calculator,financial,financial,False
used-car-resale-value.md,Used Car Resale Value Estimator,financial,financial,False
wedding-cost-estimator.md,Wedding Cost Estimator based on Wedding Type and Guests,financial,financial,False
moving-cost-cross-country.md,Moving Cost Calculator for Cross-Country Moves,financial,travel,True
travel-budget-backpackers.md,Travel Budget Calculator for Backpackers,financial,travel,True
swimmers-stroke-rate-optimizer.md,Swimmer,health,conversion,True
anxiety-management-plan.md,Anxiety Management Plan Generator,health,health,False
athlete-hydration-needs.md,Athlete Hydration Needs Calculator,health,health,False
calorie-burn.md,Calories Burned Calculator,health,health,False
calorie-needs.md,Daily Calorie Needs Calculator,health,health,False
depression-symptom-tracker.md,Depression Symptom Tracker,health,health,False
fitness-age.md,Fitness Age Calculator,health,health,False
food-calories.md,Food Calories Calculator,health,health,False
food-weight-by-quantity.md,Food Weight Calculator by Quantity,health,health,False
ideal-portion-size-weight-loss.md,Ideal Portion Size Calculator for Weight Loss,health,health,False
intermittent-fasting-schedule.md,Intermittent Fasting Schedule Calculator,health,health,False
life-expectancy.md,Life Expectancy Calculator,health,health,False
mental-health-assessment.md,Mental Health Assessment Calculator - Comprehensive Wellbeing & Resilience Evaluation,health,health,False
mindfulness-practice-time-optimizer.md,Mindfulness Practice Time Optimizer,health,health,False
sleep-assessment.md,Sleep Quality Assessment Calculator,health,health,False
stress-level-assessment.md,Stress Level Assessment Calculator,health,health,False
